store_nbr,item_nbr,date,unit_sales,onpromotion,holiday_local_count,holiday_national_count,holiday_regional_count,store_type,store_cluster,item_family,item_class,perishable,store_status,item_status,year,weekday,week_nbr,week_number_cum
10,1149579,2013-01-02,,False,0,0,0,C,15,BREAD/BAKERY,2708,1,0,3,2013,3,1,1
10,103520,2013-01-02,,False,0,0,0,C,15,GROCERY I,1028,0,0,3,2013,3,1,1
10,1149579,2013-01-03,,False,0,0,0,C,15,BREAD/BAKERY,2708,1,0,3,2013,4,1,1
10,103520,2013-01-03,,False,0,0,0,C,15,GROCERY I,1028,0,0,3,2013,4,1,1
10,1149579,2013-01-04,,False,0,0,0,C,15,BREAD/BAKERY,2708,1,0,3,2013,5,1,1
10,103520,2013-01-04,,False,0,0,0,C,15,GROCERY I,1028,0,0,3,2013,5,1,1
10,103520,2013-01-05,,False,0,1,0,C,15,GROCERY I,1028,0,0,3,2013,6,1,1
10,1149579,2013-01-05,,False,0,1,0,C,15,BREAD/BAKERY,2708,1,0,3,2013,6,1,1
10,1149579,2013-01-06,,False,0,0,0,C,15,BREAD/BAKERY,2708,1,0,3,2013,7,1,1
10,103520,2013-01-06,2.0,False,0,0,0,C,15,GROCERY I,1028,0,0,1,2013,7,1,1
10,1149579,2013-01-07,,False,0,0,0,C,15,BREAD/BAKERY,2708,1,0,3,2013,1,2,2
10,103520,2013-01-07,,False,0,0,0,C,15,GROCERY I,1028,0,0,1,2013,1,2,2
10,103520,2013-01-08,,False,0,0,0,C,15,GROCERY I,1028,0,0,1,2013,2,2,2
10,1149579,2013-01-08,,False,0,0,0,C,15,BREAD/BAKERY,2708,1,0,3,2013,2,2,2
10,103520,2013-01-09,2.0,False,0,0,0,C,15,GROCERY I,1028,0,0,1,2013,3,2,2
10,1149579,2013-01-09,,False,0,0,0,C,15,BREAD/BAKERY,2708,1,0,3,2013,3,2,2
10,103520,2013-01-10,,False,0,0,0,C,15,GROCERY I,1028,0,0,1,2013,4,2,2
10,1149579,2013-01-10,,False,0,0,0,C,15,BREAD/BAKERY,2708,1,0,3,2013,4,2,2
10,1149579,2013-01-11,,False,0,0,0,C,15,BREAD/BAKERY,2708,1,0,3,2013,5,2,2
10,103520,2013-01-11,3.0,False,0,0,0,C,15,GROCERY I,1028,0,0,1,2013,5,2,2
10,103520,2013-01-12,,False,0,1,0,C,15,GROCERY I,1028,0,0,1,2013,6,2,2
